shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,note
Vocabulary,ISBDM Value Vocabulary,vocabularyId,Vocabulary ID,TRUE,FALSE,literal,string,,,,"Unique identifier for the vocabulary (e.g., '1275')"
Vocabulary,ISBDM Value Vocabulary,title,Vocabulary Title,TRUE,FALSE,literal,string,,,,"Title of the vocabulary (e.g., 'ISBDM Extent of Unitary Structure value vocabulary')"
Vocabulary,ISBDM Value Vocabulary,prefix,URI Prefix,FALSE,FALSE,literal,string,isbdm,pattern,,"Namespace prefix for URIs, defaults to 'isbdm'"
Vocabulary,ISBDM Value Vocabulary,uri,Vocabulary URI,TRUE,FALSE,IRI,,http://iflastandards.info/ns/isbdm/values/,IRIstem,,"URI of the vocabulary (e.g., 'http://iflastandards.info/ns/isbdm/values/1275')"
Vocabulary,ISBDM Value Vocabulary,type,Vocabulary Type,FALSE,FALSE,literal,string,Vocabulary,pattern,,"Type of the vocabulary, typically 'Vocabulary'"
Vocabulary,ISBDM Value Vocabulary,description,Vocabulary Description,TRUE,FALSE,literal,string,,,,"Description of the vocabulary's purpose"
Vocabulary,ISBDM Value Vocabulary,scopeNote,Vocabulary Scope Note,FALSE,FALSE,literal,string,,,,"Additional notes about the vocabulary's scope and usage"
Vocabulary,ISBDM Value Vocabulary,isDefinedBy,Defined By,FALSE,FALSE,IRI,,http://iflastandards.info/ns/isbdm/values/,IRIstem,,"Namespace URI that defines this vocabulary"
Vocabulary,ISBDM Value Vocabulary,startCounter,Term ID Start Counter,FALSE,FALSE,literal,integer,1000,,,"Starting number for term IDs when using numeric URIs, defaults to 1000"
Vocabulary,ISBDM Value Vocabulary,uriStyle,URI Style,FALSE,FALSE,literal,string,"numeric,slug",picklist,,"Method for generating URIs: 'numeric' (default) or 'slug'"
Vocabulary,ISBDM Value Vocabulary,caseStyle,Case Style,FALSE,FALSE,literal,string,"kebab-case,snake_case,camelCase,PascalCase",picklist,,"Case style for slug URIs: 'kebab-case' (default), 'snake_case', 'camelCase', or 'PascalCase'"
Vocabulary,ISBDM Value Vocabulary,showTitle,Show Title,FALSE,FALSE,literal,boolean,false,,,"Whether to display the title in the component, defaults to false"
Vocabulary,ISBDM Value Vocabulary,showFilter,Show Filter,FALSE,FALSE,literal,boolean,true,,,"Whether to display the filter input, defaults to true"
Vocabulary,ISBDM Value Vocabulary,filterPlaceholder,Filter Placeholder,FALSE,FALSE,literal,string,"Filter vocabulary terms...",,,"Placeholder text for the filter input, defaults to 'Filter vocabulary terms...'"
Vocabulary,ISBDM Value Vocabulary,RDF,RDF Metadata,TRUE,FALSE,IRI,,,,VocabularyRDF,"Container for all RDF metadata"
VocabularyRDF,Vocabulary RDF Metadata,rdf:type,RDF Type,FALSE,TRUE,IRI,,"skos:ConceptScheme",pattern,,"RDF type(s) of the vocabulary, typically includes 'skos:ConceptScheme'"
VocabularyRDF,Vocabulary RDF Metadata,skos:prefLabel,Preferred Label,FALSE,FALSE,literal,langString,,,,"Preferred label for the vocabulary with language tags - repeatable across languages but unique per language"
VocabularyRDF,Vocabulary RDF Metadata,skos:definition,Definition,FALSE,TRUE,literal,langString,,,,"Definition of the vocabulary with language tags"
VocabularyRDF,Vocabulary RDF Metadata,skos:scopeNote,Scope Note,FALSE,TRUE,literal,langString,,,,"Scope note for the vocabulary with language tags"
VocabularyRDF,Vocabulary RDF Metadata,skos:changeNote,Change Note,FALSE,TRUE,literal,langString,,,,"Note about modifications to the vocabulary"
VocabularyRDF,Vocabulary RDF Metadata,skos:historyNote,History Note,FALSE,TRUE,literal,langString,,,,"Note about past state or meaning of the vocabulary"
VocabularyRDF,Vocabulary RDF Metadata,skos:editorialNote,Editorial Note,FALSE,TRUE,literal,langString,,,,"Note for editors or maintainers of the vocabulary"
VocabularyRDF,Vocabulary RDF Metadata,skos:example,Example,FALSE,TRUE,literal,langString,,,,"Example of the use of the vocabulary"
VocabularyRDF,Vocabulary RDF Metadata,values,Vocabulary Terms,TRUE,TRUE,IRI,,,,VocabularyTerm,"Array of terms in the vocabulary"
VocabularyTerm,Vocabulary Term,value,Term Value,TRUE,TRUE,literal,langString,,,,"Label of the term (e.g., 'activity card') - repeatable with language tags"
VocabularyTerm,Vocabulary Term,definition,Term Definition,TRUE,TRUE,literal,langString,,,,"Definition of the term - repeatable with language tags"
VocabularyTerm,Vocabulary Term,scopeNote,Term Scope Note,FALSE,TRUE,literal,langString,,,,"Additional scope information for the term - repeatable with language tags"
VocabularyTerm,Vocabulary Term,notation,Term Notation,FALSE,TRUE,literal,langString,,,,"Notation or code for the term - repeatable with language tags"
VocabularyTerm,Vocabulary Term,example,Term Example,FALSE,TRUE,literal,langString,,,,"Example of the term's usage - repeatable with language tags"
VocabularyTerm,Vocabulary Term,changeNote,Change Note,FALSE,TRUE,literal,langString,,,,"Note about modifications to the term - repeatable with language tags"
VocabularyTerm,Vocabulary Term,historyNote,History Note,FALSE,TRUE,literal,langString,,,,"Note about past state or meaning of the term - repeatable with language tags"
VocabularyTerm,Vocabulary Term,editorialNote,Editorial Note,FALSE,TRUE,literal,langString,,,,"Note for editors or maintainers about the term - repeatable with language tags"
