uri,reg:hasSubproperty,reg:lexicalAlias,reg:name@en,reg:status,rdf:type[0],rdfs:isDefinedBy,rdfs:label@en[0],rdfs:subPropertyOf,owl:inverseOf,skos:definition@en[0],skos:scopeNote@en[0]
isbd:unc/elements/P1001,,isbd:unc/elements/hasContentForm.en,hasContentForm,RegStatus:1001,rdf:Property,isbd:unc/elements/,has content form,,,Relates a resource to a category that reflects the fundamental form or forms in which the content is expressed.,
isbd:unc/elements/P1002,,isbd:unc/elements/hasContentQualification.en,hasContentQualification,RegStatus:1001,rdf:Property,isbd:unc/elements/,has content qualification,,,Relates a resource to a sub-category that expands a category that reflects the fundamental form or forms in which the content is expressed.,"Content qualifications specify the type, presence or absence of motion, dimensionality and sensory nature for the resource being described."
isbd:unc/elements/P1003,,isbd:unc/elements/hasMediaType.en,hasMediaType,RegStatus:1001,rdf:Property,isbd:unc/elements/,has media type,,,Relates a resource to a category that records the type or types of carrier used to convey the content.,"Categories generally reflect the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to render, view, run, etc., the content of a resource."
isbd:unc/elements/P1004,,isbd:unc/elements/hasTitleProper.en,hasTitleProper,RegStatus:1001,rdf:Property,isbd:unc/elements/,has title proper,isbd:unc/elements/P1012,,"Relates a resource to the title proper (the chief name of a resource, i.e. the title of a resource in the form in which it appears on the preferred source of information for the resource).","The title proper includes any alternative title, but excludes parallel titles and other title information. In the case of a section or some supplements and some titles of subseries or parts, the title proper can consist of two or more components: the common title (or the title of the main series or of the multipart monographic resource), the dependent title and the dependent title designation. For resources containing several individual works the title proper is the collective title. Resources containing several individual works and lacking a collective title are considered not to have a title proper. A series or subseries also has its own title proper."
isbd:unc/elements/P1012,isbd:unc/elements/P1004,isbd:unc/elements/hasTitle.en,hasTitle,RegStatus:1001,rdf:Property,isbd:unc/elements/,has title,,,"Relates a resource to a word or phrase, or a group of characters, usually appearing on the resource, that is the name of the resource or the work (or any one of a group of individual works) contained in it.",A title proper; a title of individual work by the same author in a resource lacking a collective title; a title of an individual work by a different author in a resource lacking a collective title; a parallel title; other title information; or parallel other title information.
isbd:unc/elements/P1005,,isbd:unc/elements/hasParallelTitle.en,hasParallelTitle,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel title,isbd:unc/elements/P1012,,Relates a resource to a title in another language or script than the title proper and presented as an equivalent of the title proper on the preferred source or sources of information.,A title in another language that is linguistically linked to another part of the description is not treated as a parallel title.
isbd:unc/elements/P1006,,isbd:unc/elements/hasOtherTitleInformation.en,hasOtherTitleInformation,RegStatus:1001,rdf:Property,isbd:unc/elements/,has other title information,isbd:unc/elements/P1012,,"Relates a resource to a word or phrase, or a group of characters, appearing in conjunction with, and subordinate to, the title proper of the resource.",Other title information can include variant titles appearing on the same source as the title proper.
isbd:unc/elements/P1007,,isbd:unc/elements/hasStatementOfResponsibilityRelatingToTitle.en,hasStatementOfResponsibilityRelatingToTitle,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of responsibility relating to title,,,"Relates a resource to one or more names, phrases, or groups of characters relating to the identification and/or function of any persons or corporate bodies responsible for or contributing to the creation or realisation of the intellectual or artistic content of a work contained in the resource.","A statement of responsibility is not constructed when there is no such statement on the resource. A statement of responsibility can relate to such entities as: writers, composers, performers, graphic artists, choreographers, arrangers, cartographers, programmers, principal investigators, animators, etc., whose work is embodied in the resource, whether directly (e.g. author of text, editor, compiler, translator, illustrator, engraver, cartographer, composer, arranger, choreographer), or indirectly (e.g. author of the novel on which a film script is based, author of the work on which the software is based, adapters of an already existing work), whether in the same medium as the original or in another; collectors of various data, persons responsible for the direction of a performed work; organizations, or individuals or corporate bodies sponsoring the work of any of the above (with intellectual and not merely financial sponsorship), producers of a popular music recording;.production companies and individuals such as producers, directors, or others having some degree of overall responsibility for a work; individuals who have specific responsibilities when in the context of a particular film, or particular type of film, they have a major creative role (e.g. cinematographers, writers of screenplays or animators of animated films); developers and designers, whose work involves the creation of the content of a resource or its realisation (e.g. game designer); entities having specific responsibilities in the context of a particular resource or particular type of resource (e.g. project directors of survey data, video director)."
isbd:unc/elements/P1008,,isbd:unc/elements/hasEditionStatement.en,hasEditionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has edition statement,,,"Relates a resource to a word or phrase, or a group of characters, indicating that the resource belongs to an edition.","An edition statement normally includes either the word ""edition"" (or its equivalent in another language) or a related term together with a number (""2nd edition"", etc.), or a term indicating difference from other editions (""new edition"", ""revised edition"",""“standard edition"", ""large print edition"", ""fourth state"", ""May 1970 script"", etc.). A statement that includes the word ""edition"" or its equivalent is not considered an edition statement when it represents printing information, as is typical in the publication patterns of certain countries. An edition statement can also include other phrases that may be linguistically associated, linking the edition to other elements of the description (e.g. original title in a form such as ""abridgement of ..."")."
isbd:unc/elements/P1009,,isbd:unc/elements/hasParallelEditionStatement.en,hasParallelEditionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel edition statement,,,"Relates a resource to an equivalent of an edition statement (a word or phrase, or a group of characters, indicating that the resource belongs to an edition) in another language or script.",
