uri,reg:hasSubClass,reg:hasSubproperty,reg:hasUnconstrained,reg:name@en,reg:status,rdf:type[0],rdfs:domain,rdfs:isDefinedBy,rdfs:label@en[0],rdfs:label@es[0],rdfs:label@es[1],rdfs:label@es[2],rdfs:range,rdfs:subClassOf,rdfs:subPropertyOf,owl:inverseOf,skos:definition@en[0],skos:definition@es[0],skos:scopeNote@en[0],skos:scopeNote@en[1],skos:scopeNote@es[0]
isbd:elements/C2025,,,,CompoundTitleOfParallelTitleEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Compound Title Of Parallel Title Encoding Scheme,Esquema de codificación del título compuesto de título paralelo,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the compound title of the parallel title.,Esquema de codificación utilizado para el título compuesto del título paralelo.,,,
isbd:elements/C2002,isbd:elements/C2025,,,ISBDSyntaxEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,ISBD Syntax Encoding Scheme,Esquema de codificación de sintaxis ISBD,,,,rdfs:Datatype,,,Syntax encoding scheme used by International Standard Bibliographic Description (ISBD).,Esquema de codificación de sintaxis utilizado en la Descripción Bibliográfica Internacional Normalizada (ISBD).,,,
isbd:elements/C2021,,,,CompoundTitleOfTitleProperEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Compound Title Of Title Proper Encoding Scheme,Esquema de codificación del título compuesto de título propiamente dicho,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the compound title of the title proper.,Esquema de codificación utilizado para el título compuesto del título propiamente dicho.,,,
isbd:elements/C2003,,,,ContentFormAndMediaTypeAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Content Form And Media Type Area Encoding Scheme,Esquema de codificación del área de forma del contenido y de tipo de medio,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the content form and media type area (Area 0).,Esquema de codificación utilizado para el área de forma del contenido y de tipo de medio (Área 0).,,,
isbd:elements/C2026,,,,ContentFormAndMediaTypeStatementEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Content Form And Media Type Statement Encoding Scheme,Esquema de codificación de mención de forma del contenido y de tipo de medio,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the content form and media type statement.,Esquema de codificación utilizado para el mención de forma del contenido y de tipo de medio.,,,
isbd:elements/C2005,,,,EditionAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Edition Area Encoding Scheme,Esquema de codificación del área de edición,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the edition area (Area 2).,Esquema de codificación utilizado para el área de edición (Área 2).,,,
isbd:elements/C2004,,,,TitleAndStatementOfResponsibilityAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Title And Statement Of Responsibility Area Encoding Scheme,Esquema de codificación del área de título y mención de responsabilidad,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the title and statement of responsibility area (Area 1).,Esquema de codificación utilizado para el área de título y mención de responsabilidad (Área 1).,,,
isbd:elements/C2006,,,,MaterialOrTypeOfResourceSpecificAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Material Or Type Of Resource Specific Area Encoding Scheme,Esquema de codificación del área del material o tipo específico de recurso,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the material or type of resource specific area (Area 3).,Esquema de codificación utilizado para el área del material o tipo específico de recurso (Área 2).,,,
isbd:elements/C2007,,,,PublicationProductionDistributionEtcAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,"Publication, Production, Distribution, Etc Area Encoding Scheme","Esquema de codificación del área de publicación, producción, distribución, etc.",,,,isbd:elements/C2002,,,"Syntax Encoding Scheme for the publication, production, distribution, etc. area (Area 4).","Esquema de codificación utilizado para el área de publicación, producción, distribución, etc. (Área 4).",,,
isbd:elements/C2008,,,,MaterialDescriptionAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Material Description Area Encoding Scheme,Esquema de codificación del área de descripción material,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the material description area (Area 5).,Esquema de codificación utilizado para el área de descripción material (Área 5).,,,
